benchmark_set,question_id,question,category,operation,question_runs,unique_questions,successes,success_rate,avg_precision,avg_recall,avg_f1,sd_f1,avg_gold_count,avg_generated_count,avg_missing_count,avg_extra_count,errors,avg_total_ms
normal,38,Finn totalt antall personstemmer og slengere per parti.,aggregate_group_sum,aggregate,24,1,0,0.0,0.0,0.0,0.0,0.0,185.0,185.0,185.0,185.0,1,3623.8333
normal,10,"Finn personlige eierskap fra 2023. Ta med eiernavn, eierens fødselsdato, selskapsnavn, organisasjonsnummer, år, eierandel og antall aksjer.",find_projection,find,24,1,0,0.0,0.7976,0.8333,0.8141,0.088,1048.0,1048.0,174.6667,174.6667,0,5240.6667
normal,30,Finn aktive selskaper som har aksjeeierbokoppføringer. Ta med navn og organisasjonsnummer.,quantifier_exists,aggregate,24,1,0,0.0,0.5482,0.5132,0.5301,0.4754,1173.0,620.6087,571.0435,18.6522,1,5604.9167
normal,53,"Finn aksjeeierbokoppføringer for konkursbedrifter i 2023. Ta med aksjonærnavn, selskap, organisasjonsnummer og antall aksjer.",lookup_join,aggregate,24,1,1,0.0417,0.8704,0.8704,0.8704,0.1954,108.0,129.5455,14.0,35.5455,2,14526.4167
normal,27,"Finn selskaper som har minst ett eierskapsforhold. Ta med navn, organisasjonsnummer og antall eierskap.",quantifier_exists,aggregate,24,1,3,0.125,1.0,0.2847,0.3951,0.2335,126.0,35.875,90.125,0.0,0,4153.25
normal,52,"Finn politikere som eier aksjer. Ta med navn, fødselsdato, parti, selskap og eierandel.",lookup_join,aggregate,24,1,4,0.1667,0.316,0.5263,0.3613,0.4185,2.0,27.0526,0.9474,26.0,5,13464.6667
normal,54,"Finn selskaper som har politikere med selskapsrolle. Ta med selskapsnavn, organisasjonsnummer og antall politikerroller.",lookup_join,aggregate,24,1,4,0.1667,0.5403,0.7262,0.6121,0.3638,68.0,208.0,18.619,158.619,3,10555.5417
normal,28,"Finn personer som både har selskapsrolle og eier aksjer. Ta med navn, fødselsdato, antall roller og antall eide selskaper.",quantifier_exists,aggregate,24,1,6,0.25,0.25,0.25,0.25,0.4423,1.0,1.0,0.75,0.75,0,8121.125
normal,41,Finn gjennomsnittlig eierandel per selskap.,aggregate_group_avg,aggregate,24,1,7,0.2917,0.3135,0.3135,0.3135,0.4623,126.0,126.0,86.5,86.5,0,4594.9583
normal,50,"Finn de 10 selskapene med flest aksjeeierbokoppføringer. Ta med navn, organisasjonsnummer og antall oppføringer.",aggregate_having_sort_limit,aggregate,24,1,7,0.2917,0.4417,0.4417,0.4417,0.3844,10.0,10.0,5.5833,5.5833,0,5191.0417
normal,14,"Finn norske aksjonærer i 2023. Ta med aksjonærnavn, selskap, organisasjonsnummer, aksjeklasse, landkode, år og antall aksjer.",selection_conditions,find,24,1,7,0.2917,0.2917,0.2917,0.2917,0.4643,463834.0,135284.9167,328549.0833,0.0,0,7760.0
normal,39,Finn totalt antall aksjer og stemmer per selskap i eierskap.,aggregate_group_sum,aggregate,24,1,9,0.375,0.375,0.375,0.375,0.4945,126.0,126.0,78.75,78.75,0,4852.4583
normal,22,"Finn politikere med feltene politikerNavn, fødselsdato, parti, kommune og stemmer totalt.",alias_projection,aggregate,24,1,9,0.375,0.7363,0.7362,0.7362,0.42,53366.0,53257.7692,14080.6923,13972.4615,11,6518.5
normal,29,"Finn politikere som ikke har registrerte selskapsroller. Ta med navn, fødselsdato og parti.",quantifier_exists,aggregate,24,1,10,0.4167,0.9583,0.9549,0.9566,0.2038,53272.0,50870.875,2401.125,0.0,0,11092.125
normal,36,Finn totalt antall aksjer i aksjeeierboken per selskap for 2023.,aggregate_group_sum,aggregate,24,1,11,0.4583,0.4925,0.4925,0.4925,0.5043,879.0,879.0,446.125,446.125,0,4522.4583
normal,12,"Finn selskaper etablert mellom 2015 og 2020. Ta med navn, organisasjonsnummer og etableringsdato.",selection_conditions,find,24,1,13,0.5417,0.5417,0.5417,0.5417,0.509,1623.0,879.125,743.875,0.0,0,4415.0
normal,17,"Finn aksjeeierbokoppføringer der selskapsnavnet inneholder både INVEST og HOLDING. Ta med selskap, organisasjonsnummer, aksjonærnavn, aksjeklasse og år.",text_or_pattern_filter,find,24,1,13,0.5417,0.5418,1.0,0.5419,0.5087,195.0,356310.8333,0.0,356115.8333,0,6836.5417
normal,48,"Finn personer med roller i flere enn ett selskap. Ta med navn, fødselsdato og antall selskaper.",aggregate_having_sort_limit,aggregate,24,1,14,0.5833,0.5833,0.5833,0.5833,0.5036,66.0,66.0,27.5,27.5,0,6022.0
normal,8,"Finn navn, fødselsdato, parti og kommune for innvalgte politikere.",find_projection,find,24,1,15,0.625,0.699,0.9368,0.7395,0.3437,36500.0,80695.0,2304.875,46499.875,0,3500.0
normal,51,"Finn politikere som har selskapsroller. Ta med navn, fødselsdato, parti, selskap og rolle.",lookup_join,aggregate,24,1,15,0.625,0.624,0.6949,0.6524,0.4483,116.0,98.913,35.3913,18.3043,1,11172.5417
normal,20,"Finn innvalgte politikere fra Fremskrittspartiet eller Framstegspartiet. Ta med navn, fødselsdato, parti og kommune.",text_or_pattern_filter,find,24,1,15,0.625,0.7141,0.9366,0.7604,0.3162,4028.0,7366.0,255.375,3593.375,0,4506.875
normal,44,Finn gjennomsnittlig fødselsår per rolletype.,aggregate_group_avg,aggregate,24,1,16,0.6667,0.713,0.713,0.713,0.4195,9.0,9.0,2.5833,2.5833,0,5479.75
normal,47,Finn partier med flere enn 5 innvalgte politikere. Ta med parti og antall innvalgte.,aggregate_having_sort_limit,aggregate,24,1,18,0.75,0.75,0.75,0.75,0.4423,49.0,83.0,12.25,46.25,0,4382.9167
normal,15,"Finn personlige eiere med eierandel over 0 prosent. Ta med eiernavn, eierens fødselsdato, selskapsnavn, organisasjonsnummer, år og eierandel.",selection_conditions,find,24,1,18,0.75,0.8611,0.898,0.8733,0.2288,1650.0,1603.75,168.3333,122.0833,0,5743.125
normal,45,Finn gjennomsnittlig listeplass per parti.,aggregate_group_avg,aggregate,24,1,19,0.7917,0.9331,0.9331,0.9331,0.2069,185.0,185.0,12.375,12.375,0,5046.6667
normal,55,"Finn politikere som har selskapsroller. Ta med navn, fødselsdato, parti og antall roller.",lookup_join,aggregate,24,1,19,0.7917,0.7011,0.8732,0.7707,0.311,94.0,106.2083,11.9167,24.125,0,9335.6667
normal,24,"Finn personlige eierskap med feltene eier, eierFødselsdato, selskap, organisasjonsnummer, år og eierandel.",alias_projection,aggregate,24,1,20,0.8333,0.8333,0.8333,0.8333,0.3807,275.0,275.0,45.8333,45.8333,0,6558.5
normal,19,"Finn personer født i 1990 eller senere som har en selskapsrolle. Ta med navn, fødselsdato, rolle, selskapsnavn og organisasjonsnummer.",text_or_pattern_filter,find,24,1,20,0.8333,0.9833,1.0,0.9909,0.028,3620.0,3620.0,0.0,0.0,4,5528.75
normal,13,"Finn politikere fra Høyre med mer enn 100 personstemmer. Ta med navn, fødselsdato, parti og personstemmer.",selection_conditions,find,24,1,21,0.875,1.0,1.0,1.0,0.0,3604.0,3604.0,0.0,0.0,3,2777.75
normal,42,Finn gjennomsnittlig antall personstemmer per parti.,aggregate_group_avg,aggregate,24,1,22,0.9167,0.9351,0.9351,0.9351,0.2198,185.0,185.0,12.0,12.0,0,4102.0833
normal,18,Finn aksjeklasser på formen X-aksjer. Ta med aksjeklasse.,text_or_pattern_filter,aggregate,24,1,23,0.9583,0.9584,1.0,0.9585,0.2033,5.0,107.125,0.0,102.125,0,3909.2083
normal,31,Finn antall rolleoppføringer per rolletype.,aggregate_group_count,aggregate,24,1,24,1.0,1.0,1.0,1.0,0.0,9.0,9.0,0.0,0.0,0,3256.625
normal,33,Finn antall politikere per parti.,aggregate_group_count,aggregate,24,1,24,1.0,1.0,1.0,1.0,0.0,185.0,185.0,0.0,0.0,0,3457.7917
normal,40,Finn totalt antall aksjer per aksjeklasse.,aggregate_group_sum,aggregate,24,1,24,1.0,1.0,1.0,1.0,0.0,30.0,30.0,0.0,0.0,0,3874.0417
normal,46,"Finn selskaper med flere enn 10 registrerte rolleoppføringer. Ta med navn, organisasjonsnummer og antall roller.",aggregate_having_sort_limit,aggregate,24,1,24,1.0,1.0,1.0,1.0,0.0,24.0,24.0,0.0,0.0,0,3753.25
normal,49,"Finn selskaper med flere enn 20 eierskapsoppføringer. Ta med navn, organisasjonsnummer og antall eierskap.",aggregate_having_sort_limit,aggregate,24,1,24,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0,3785.375
normal,21,"Finn selskaper med feltene selskapsnavn, organisasjonsnummer og type.",alias_projection,aggregate,24,1,24,1.0,1.0,1.0,1.0,0.0,2001.0,2001.0,0.0,0.0,0,2165.75
normal,23,"Finn rolleoppføringer med feltene personNavn, fødselsdato, selskap, organisasjonsnummer og rolle.",alias_projection,aggregate,24,1,24,1.0,1.0,1.0,1.0,0.0,4095.0,4095.0,0.0,0.0,0,3788.625
normal,25,"Finn aksjeeierbokoppføringer med feltene aksjonær, selskap, organisasjonsnummer, aksjeklasse, aksjer og år.",alias_projection,aggregate,24,1,24,1.0,1.0,1.0,1.0,0.0,762063.0,762063.0,0.0,0.0,0,32255.125
normal,1,Finn alle distinkte selskapsroller.,distinct,distinct,24,1,24,1.0,1.0,1.0,1.0,0.0,9.0,9.0,0.0,0.0,0,2603.2917
normal,2,Finn alle distinkte organisasjonstyper for selskaper.,distinct,distinct,24,1,24,1.0,1.0,1.0,1.0,0.0,7.0,7.0,0.0,0.0,0,1885.875
normal,3,Finn alle distinkte partier blant politikere.,distinct,distinct,24,1,24,1.0,1.0,1.0,1.0,0.0,185.0,185.0,0.0,0.0,0,2010.6667
normal,4,Finn alle distinkte aksjeklasser i aksjeeierboken.,distinct,distinct,24,1,24,1.0,1.0,1.0,1.0,0.0,30.0,30.0,0.0,0.0,0,1819.3333
normal,5,Finn alle distinkte år med eierskapsoppføringer.,distinct,distinct,24,1,24,1.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0,2294.0833
normal,6,"Finn navn, organisasjonsnummer og oppløsningsdato for konkursbedrifter.",find_projection,find,24,1,24,1.0,1.0,1.0,1.0,0.0,1746.0,1746.0,0.0,0.0,0,2617.875
normal,7,"Finn navn, organisasjonsnummer og etableringsdato for selskaper som ikke er i konkurs eller likvidasjon.",find_projection,find,24,1,24,1.0,1.0,1.0,1.0,0.0,4251.0,4251.0,0.0,0.0,0,2786.625
normal,9,"Finn personer med rollen board_member. Ta med navn, fødselsdato, rolle, selskapsnavn og organisasjonsnummer.",find_projection,find,24,1,24,1.0,1.0,1.0,1.0,0.0,8010.0,8010.0,0.0,0.0,0,4943.4167
normal,26,"Finn selskaper som har minst én registrert rolle. Ta med navn, organisasjonsnummer og antall roller.",quantifier_exists,aggregate,24,1,24,1.0,0.9995,1.0,0.9998,0.0001,1429.0,1429.75,0.0,0.75,0,4559.2917
normal,11,Finn selskaper som både er i konkurs og under likvidasjon. Ta med navn og organisasjonsnummer.,selection_conditions,find,24,1,24,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,2985.875
normal,16,"Finn selskaper der bransjebeskrivelsen inneholder bygg. Ta med navn, organisasjonsnummer og bransjebeskrivelse.",text_or_pattern_filter,find,24,1,24,1.0,1.0,1.0,1.0,0.0,324.0,324.0,0.0,0.0,0,2445.625
