benchmark_set,structure,schema_version,model,question_id,question,category,operation,question_runs,unique_questions,successes,success_rate,avg_precision,avg_recall,avg_f1,sd_f1,avg_gold_count,avg_generated_count,avg_missing_count,avg_extra_count,errors,avg_total_ms
complex,flat,naive,gpt-4.1-mini,101,"Finn partier med politikere som har selskapsroller. Identifiser politikere med navn og fødselsdato. Ta med parti, antall unike politikere og antall rolleoppføringer.",complex_pipeline_stress,aggregate,3,1,0,0.0,0.2174,0.2778,0.2439,0.0,18.0,23.0,13.0,18.0,0,6918.0
complex,flat,naive,gpt-4.1-mini,105,"Finn partier der politikere har minst én selskapsrolle eller minst ett personlig eierskap. Identifiser politikere med navn og fødselsdato. Ta med parti, antall unike politikere, antall rolleoppføringer og antall eierskap.",complex_pipeline_stress,aggregate,3,1,0,0.0,0.0725,0.0926,0.0813,0.1408,18.0,23.0,16.3333,21.3333,0,5941.3333
complex,flat,naive,gpt-4.1-mini,102,"Finn selskaper som både har eierskapsoppføringer i 2023 og aksjeeierbokoppføringer i 2023. Ta med navn, organisasjonsnummer, antall eierskapsoppføringer i 2023 og antall aksjeeierbokoppføringer i 2023.",complex_pipeline_stress,aggregate,3,1,3,1.0,1.0,1.0,1.0,0.0,19.0,19.0,0.0,0.0,0,5493.6667
complex,flat,naive,gpt-4.1-mini,103,"Finn politikere som både eier aksjer i et selskap og har en rolle i samme selskap. Identifiser politikere med navn og fødselsdato. Ta med navn, fødselsdato, parti, selskap, organisasjonsnummer, rolle og eierandel.",complex_pipeline_stress,aggregate,3,1,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,8815.3333
complex,flat,naive,gpt-4.1-mini,104,"Finn de 20 selskapene med flest samlede rolleoppføringer og eierskapsoppføringer. Ta med navn, organisasjonsnummer, antall roller, antall eierskap og totalt antall relasjoner. Sorter synkende på totalt antall relasjoner og stigende på organisasjonsnummer ved likt antall.",complex_pipeline_stress,aggregate,3,1,3,1.0,1.0,1.0,1.0,0.0,20.0,20.0,0.0,0.0,0,4739.0
complex,flat,naive,gpt-5-mini,101,"Finn partier med politikere som har selskapsroller. Identifiser politikere med navn og fødselsdato. Ta med parti, antall unike politikere og antall rolleoppføringer.",complex_pipeline_stress,aggregate,3,1,0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,18.0,18.0,0,25793.3333
complex,flat,naive,gpt-5-mini,105,"Finn partier der politikere har minst én selskapsrolle eller minst ett personlig eierskap. Identifiser politikere med navn og fødselsdato. Ta med parti, antall unike politikere, antall rolleoppføringer og antall eierskap.",complex_pipeline_stress,aggregate,3,1,0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,18.0,18.0,0,38599.3333
complex,flat,naive,gpt-5-mini,104,"Finn de 20 selskapene med flest samlede rolleoppføringer og eierskapsoppføringer. Ta med navn, organisasjonsnummer, antall roller, antall eierskap og totalt antall relasjoner. Sorter synkende på totalt antall relasjoner og stigende på organisasjonsnummer ved likt antall.",complex_pipeline_stress,aggregate,3,1,2,0.6667,1.0,1.0,1.0,0.0,20.0,20.0,0.0,0.0,1,18362.3333
complex,flat,naive,gpt-5-mini,102,"Finn selskaper som både har eierskapsoppføringer i 2023 og aksjeeierbokoppføringer i 2023. Ta med navn, organisasjonsnummer, antall eierskapsoppføringer i 2023 og antall aksjeeierbokoppføringer i 2023.",complex_pipeline_stress,aggregate,3,1,3,1.0,1.0,1.0,1.0,0.0,19.0,19.0,0.0,0.0,0,19205.3333
complex,flat,naive,gpt-5-mini,103,"Finn politikere som både eier aksjer i et selskap og har en rolle i samme selskap. Identifiser politikere med navn og fødselsdato. Ta med navn, fødselsdato, parti, selskap, organisasjonsnummer, rolle og eierandel.",complex_pipeline_stress,aggregate,3,1,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,43414.0
complex,structured,advanced,gpt-4.1-mini,101,"Finn partier med politikere som har selskapsroller. Identifiser politikere med navn og fødselsdato. Ta med parti, antall unike politikere og antall rolleoppføringer.",complex_pipeline_stress,aggregate,3,1,0,0.0,0.1061,0.1296,0.1167,0.2021,18.0,15.0,15.6667,12.6667,0,3372.3333
complex,structured,advanced,gpt-4.1-mini,102,"Finn selskaper som både har eierskapsoppføringer i 2023 og aksjeeierbokoppføringer i 2023. Ta med navn, organisasjonsnummer, antall eierskapsoppføringer i 2023 og antall aksjeeierbokoppføringer i 2023.",complex_pipeline_stress,aggregate,3,1,0,0.0,,,,,,,,,3,63420.3333
complex,structured,advanced,gpt-4.1-mini,105,"Finn partier der politikere har minst én selskapsrolle eller minst ett personlig eierskap. Identifiser politikere med navn og fødselsdato. Ta med parti, antall unike politikere, antall rolleoppføringer og antall eierskap.",complex_pipeline_stress,aggregate,3,1,0,0.0,0.2075,0.2593,0.2305,0.1997,18.0,22.3333,13.3333,17.6667,0,2769.3333
complex,structured,advanced,gpt-4.1-mini,103,"Finn politikere som både eier aksjer i et selskap og har en rolle i samme selskap. Identifiser politikere med navn og fødselsdato. Ta med navn, fødselsdato, parti, selskap, organisasjonsnummer, rolle og eierandel.",complex_pipeline_stress,aggregate,3,1,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,4217.3333
complex,structured,advanced,gpt-4.1-mini,104,"Finn de 20 selskapene med flest samlede rolleoppføringer og eierskapsoppføringer. Ta med navn, organisasjonsnummer, antall roller, antall eierskap og totalt antall relasjoner. Sorter synkende på totalt antall relasjoner og stigende på organisasjonsnummer ved likt antall.",complex_pipeline_stress,aggregate,3,1,3,1.0,1.0,1.0,1.0,0.0,20.0,20.0,0.0,0.0,0,2341.6667
complex,structured,advanced,gpt-5-mini,101,"Finn partier med politikere som har selskapsroller. Identifiser politikere med navn og fødselsdato. Ta med parti, antall unike politikere og antall rolleoppføringer.",complex_pipeline_stress,aggregate,3,1,0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,18.0,18.0,0,19767.0
complex,structured,advanced,gpt-5-mini,105,"Finn partier der politikere har minst én selskapsrolle eller minst ett personlig eierskap. Identifiser politikere med navn og fødselsdato. Ta med parti, antall unike politikere, antall rolleoppføringer og antall eierskap.",complex_pipeline_stress,aggregate,3,1,0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,18.0,18.0,1,34632.0
complex,structured,advanced,gpt-5-mini,103,"Finn politikere som både eier aksjer i et selskap og har en rolle i samme selskap. Identifiser politikere med navn og fødselsdato. Ta med navn, fødselsdato, parti, selskap, organisasjonsnummer, rolle og eierandel.",complex_pipeline_stress,aggregate,3,1,2,0.6667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,25322.6667
complex,structured,advanced,gpt-5-mini,104,"Finn de 20 selskapene med flest samlede rolleoppføringer og eierskapsoppføringer. Ta med navn, organisasjonsnummer, antall roller, antall eierskap og totalt antall relasjoner. Sorter synkende på totalt antall relasjoner og stigende på organisasjonsnummer ved likt antall.",complex_pipeline_stress,aggregate,3,1,2,0.6667,1.0,1.0,1.0,0.0,20.0,20.0,0.0,0.0,1,10559.6667
complex,structured,advanced,gpt-5-mini,102,"Finn selskaper som både har eierskapsoppføringer i 2023 og aksjeeierbokoppføringer i 2023. Ta med navn, organisasjonsnummer, antall eierskapsoppføringer i 2023 og antall aksjeeierbokoppføringer i 2023.",complex_pipeline_stress,aggregate,3,1,3,1.0,1.0,1.0,1.0,0.0,19.0,19.0,0.0,0.0,0,20812.0
complex,structured,naive,gpt-4.1-mini,101,"Finn partier med politikere som har selskapsroller. Identifiser politikere med navn og fødselsdato. Ta med parti, antall unike politikere og antall rolleoppføringer.",complex_pipeline_stress,aggregate,3,1,0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0,0.0,0,2422.0
complex,structured,naive,gpt-4.1-mini,102,"Finn selskaper som både har eierskapsoppføringer i 2023 og aksjeeierbokoppføringer i 2023. Ta med navn, organisasjonsnummer, antall eierskapsoppføringer i 2023 og antall aksjeeierbokoppføringer i 2023.",complex_pipeline_stress,aggregate,3,1,0,0.0,0.8889,0.4211,0.5714,0,19.0,9.0,11.0,1.0,2,3155.3333
complex,structured,naive,gpt-4.1-mini,105,"Finn partier der politikere har minst én selskapsrolle eller minst ett personlig eierskap. Identifiser politikere med navn og fødselsdato. Ta med parti, antall unike politikere, antall rolleoppføringer og antall eierskap.",complex_pipeline_stress,aggregate,3,1,0,0.0,0.1061,0.1296,0.1167,0.2021,18.0,22.0,15.6667,19.6667,0,3150.6667
complex,structured,naive,gpt-4.1-mini,103,"Finn politikere som både eier aksjer i et selskap og har en rolle i samme selskap. Identifiser politikere med navn og fødselsdato. Ta med navn, fødselsdato, parti, selskap, organisasjonsnummer, rolle og eierandel.",complex_pipeline_stress,aggregate,3,1,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,3983.3333
complex,structured,naive,gpt-4.1-mini,104,"Finn de 20 selskapene med flest samlede rolleoppføringer og eierskapsoppføringer. Ta med navn, organisasjonsnummer, antall roller, antall eierskap og totalt antall relasjoner. Sorter synkende på totalt antall relasjoner og stigende på organisasjonsnummer ved likt antall.",complex_pipeline_stress,aggregate,3,1,3,1.0,1.0,1.0,1.0,0.0,20.0,20.0,0.0,0.0,0,2340.6667
complex,structured,naive,gpt-5-mini,101,"Finn partier med politikere som har selskapsroller. Identifiser politikere med navn og fødselsdato. Ta med parti, antall unike politikere og antall rolleoppføringer.",complex_pipeline_stress,aggregate,3,1,0,0.0,0.0,0.0,0.0,0.0,18.0,22.0,18.0,22.0,0,21362.3333
complex,structured,naive,gpt-5-mini,102,"Finn selskaper som både har eierskapsoppføringer i 2023 og aksjeeierbokoppføringer i 2023. Ta med navn, organisasjonsnummer, antall eierskapsoppføringer i 2023 og antall aksjeeierbokoppføringer i 2023.",complex_pipeline_stress,aggregate,3,1,0,0.0,0.8889,0.4211,0.5714,0.0,19.0,9.0,11.0,1.0,0,10997.3333
complex,structured,naive,gpt-5-mini,105,"Finn partier der politikere har minst én selskapsrolle eller minst ett personlig eierskap. Identifiser politikere med navn og fødselsdato. Ta med parti, antall unike politikere, antall rolleoppføringer og antall eierskap.",complex_pipeline_stress,aggregate,3,1,0,0.0,0.0,0.0,0.0,0.0,18.0,20.6667,18.0,20.6667,0,52835.6667
complex,structured,naive,gpt-5-mini,103,"Finn politikere som både eier aksjer i et selskap og har en rolle i samme selskap. Identifiser politikere med navn og fødselsdato. Ta med navn, fødselsdato, parti, selskap, organisasjonsnummer, rolle og eierandel.",complex_pipeline_stress,aggregate,3,1,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,20160.3333
complex,structured,naive,gpt-5-mini,104,"Finn de 20 selskapene med flest samlede rolleoppføringer og eierskapsoppføringer. Ta med navn, organisasjonsnummer, antall roller, antall eierskap og totalt antall relasjoner. Sorter synkende på totalt antall relasjoner og stigende på organisasjonsnummer ved likt antall.",complex_pipeline_stress,aggregate,3,1,3,1.0,1.0,1.0,1.0,0.0,20.0,20.0,0.0,0.0,0,8619.3333
normal,flat,advanced,gpt-4.1-mini,41,Finn gjennomsnittlig eierandel per selskap.,aggregate_group_avg,aggregate,3,1,0,0.0,0.0,0.0,0.0,0.0,126.0,126.0,126.0,126.0,0,965.3333
normal,flat,advanced,gpt-4.1-mini,43,Finn gjennomsnittlig antall aksjer per landkode i aksjeeierboken.,aggregate_group_avg,aggregate,3,1,0,0.0,0.9882,0.9882,0.9882,0.0,85.0,85.0,1.0,1.0,0,1572.0
normal,flat,advanced,gpt-4.1-mini,32,Finn antall selskaper per organisasjonstype.,aggregate_group_count,aggregate,3,1,0,0.0,0.8571,0.8571,0.8571,0.0,7.0,7.0,1.0,1.0,0,878.0
normal,flat,advanced,gpt-4.1-mini,34,Finn antall aksjonærer per landkode.,aggregate_group_count,aggregate,3,1,0,0.0,0.9882,0.9882,0.9882,0.0,85.0,85.0,1.0,1.0,0,1927.0
normal,flat,advanced,gpt-4.1-mini,35,Finn antall eierskapsoppføringer per år.,aggregate_group_count,aggregate,3,1,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0,824.3333
normal,flat,advanced,gpt-4.1-mini,36,Finn totalt antall aksjer i aksjeeierboken per selskap for 2023.,aggregate_group_sum,aggregate,3,1,0,0.0,0.0,0.0,0.0,0.0,879.0,879.0,879.0,879.0,0,1121.6667
normal,flat,advanced,gpt-4.1-mini,37,Finn totalt antall aksjer eid per person.,aggregate_group_sum,aggregate,3,1,0,0.0,0.0,0.0,0.0,0.0,76.0,76.0,76.0,76.0,0,859.3333
normal,flat,advanced,gpt-4.1-mini,38,Finn totalt antall personstemmer og slengere per parti.,aggregate_group_sum,aggregate,3,1,0,0.0,0.0,0.0,0.0,0.0,185.0,185.0,185.0,185.0,1,1308.0
normal,flat,advanced,gpt-4.1-mini,39,Finn totalt antall aksjer og stemmer per selskap i eierskap.,aggregate_group_sum,aggregate,3,1,0,0.0,0.0,0.0,0.0,0.0,126.0,126.0,126.0,126.0,0,1081.0
normal,flat,advanced,gpt-4.1-mini,48,"Finn personer med roller i flere enn ett selskap. Ta med navn, fødselsdato og antall selskaper.",aggregate_having_sort_limit,aggregate,3,1,0,0.0,0.0,0.0,0.0,0.0,66.0,66.0,66.0,66.0,0,1636.0
normal,flat,advanced,gpt-4.1-mini,50,"Finn de 10 selskapene med flest aksjeeierbokoppføringer. Ta med navn, organisasjonsnummer og antall oppføringer.",aggregate_having_sort_limit,aggregate,3,1,0,0.0,0.3,0.3,0.3,0.0,10.0,10.0,7.0,7.0,0,2465.6667
normal,flat,advanced,gpt-4.1-mini,10,"Finn personlige eierskap fra 2023. Ta med eiernavn, eierens fødselsdato, selskapsnavn, organisasjonsnummer, år, eierandel og antall aksjer.",find_projection,find,3,1,0,0.0,0.6428,0.75,0.6923,0.0,1048.0,1048.0,262.0,262.0,0,1529.6667
normal,flat,advanced,gpt-4.1-mini,53,"Finn aksjeeierbokoppføringer for konkursbedrifter i 2023. Ta med aksjonærnavn, selskap, organisasjonsnummer og antall aksjer.",lookup_join,aggregate,3,1,0,0.0,0.9074,0.9074,0.9074,0.0,108.0,108.0,10.0,10.0,0,7400.3333
normal,flat,advanced,gpt-4.1-mini,54,"Finn selskaper som har politikere med selskapsrolle. Ta med selskapsnavn, organisasjonsnummer og antall politikerroller.",lookup_join,aggregate,3,1,0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,68.0,0.0,0,1564.3333
normal,flat,advanced,gpt-4.1-mini,27,"Finn selskaper som har minst ett eierskapsforhold. Ta med navn, organisasjonsnummer og antall eierskap.",quantifier_exists,aggregate,3,1,0,0.0,1.0,0.1825,0.3087,0.0,126.0,23.0,103.0,0.0,0,1244.3333
normal,flat,advanced,gpt-4.1-mini,28,"Finn personer som både har selskapsrolle og eier aksjer. Ta med navn, fødselsdato, antall roller og antall eide selskaper.",quantifier_exists,aggregate,3,1,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,2076.6667
normal,flat,advanced,gpt-4.1-mini,30,Finn aktive selskaper som har aksjeeierbokoppføringer. Ta med navn og organisasjonsnummer.,quantifier_exists,aggregate,3,1,0,0.0,0.9699,0.9079,0.9379,0.0,1173.0,1098.0,108.0,33.0,0,3302.6667
normal,flat,advanced,gpt-4.1-mini,14,"Finn norske aksjonærer i 2023. Ta med aksjonærnavn, selskap, organisasjonsnummer, aksjeklasse, landkode, år og antall aksjer.",selection_conditions,find,3,1,0,0.0,0.0,0.0,0.0,0.0,463834.0,0.0,463834.0,0.0,0,3012.6667
normal,flat,advanced,gpt-4.1-mini,15,"Finn personlige eiere med eierandel over 0 prosent. Ta med eiernavn, eierens fødselsdato, selskapsnavn, organisasjonsnummer, år og eierandel.",selection_conditions,find,3,1,0,0.0,0.4445,0.5172,0.4532,0.139,1650.0,1280.0,796.6667,426.6667,0,1454.3333
normal,flat,advanced,gpt-4.1-mini,17,"Finn aksjeeierbokoppføringer der selskapsnavnet inneholder både INVEST og HOLDING. Ta med selskap, organisasjonsnummer, aksjonærnavn, aksjeklasse og år.",text_or_pattern_filter,find,3,1,0,0.0,0.0003,1.0,0.0006,0.0,195.0,777175.0,0.0,776980.0,0,4998.0
normal,flat,advanced,gpt-4.1-mini,29,"Finn politikere som ikke har registrerte selskapsroller. Ta med navn, fødselsdato og parti.",quantifier_exists,aggregate,3,1,1,0.3333,1.0,0.9993,0.9997,0.0003,53272.0,53235.3333,36.6667,0.0,0,5032.0
normal,flat,advanced,gpt-4.1-mini,24,"Finn personlige eierskap med feltene eier, eierFødselsdato, selskap, organisasjonsnummer, år og eierandel.",alias_projection,aggregate,3,1,2,0.6667,0.6667,0.6667,0.6667,0.5774,275.0,275.0,91.6667,91.6667,0,1382.3333
normal,flat,advanced,gpt-4.1-mini,52,"Finn politikere som eier aksjer. Ta med navn, fødselsdato, parti, selskap og eierandel.",lookup_join,aggregate,3,1,2,0.6667,0.6667,0.6667,0.6667,0.5774,2.0,1.3333,0.6667,0.0,0,9028.3333
normal,flat,advanced,gpt-4.1-mini,55,"Finn politikere som har selskapsroller. Ta med navn, fødselsdato, parti og antall roller.",lookup_join,aggregate,3,1,2,0.6667,0.4206,0.6667,0.5158,0.4467,94.0,99.3333,31.3333,36.6667,0,1971.6667
normal,flat,advanced,gpt-4.1-mini,42,Finn gjennomsnittlig antall personstemmer per parti.,aggregate_group_avg,aggregate,3,1,3,1.0,1.0,1.0,1.0,0.0,185.0,185.0,0.0,0.0,0,971.3333
normal,flat,advanced,gpt-4.1-mini,44,Finn gjennomsnittlig fødselsår per rolletype.,aggregate_group_avg,aggregate,3,1,3,1.0,1.0,1.0,1.0,0.0,9.0,9.0,0.0,0.0,0,879.0
normal,flat,advanced,gpt-4.1-mini,45,Finn gjennomsnittlig listeplass per parti.,aggregate_group_avg,aggregate,3,1,3,1.0,1.0,1.0,1.0,0.0,185.0,185.0,0.0,0.0,0,1161.0
normal,flat,advanced,gpt-4.1-mini,31,Finn antall rolleoppføringer per rolletype.,aggregate_group_count,aggregate,3,1,3,1.0,1.0,1.0,1.0,0.0,9.0,9.0,0.0,0.0,0,948.6667
normal,flat,advanced,gpt-4.1-mini,33,Finn antall politikere per parti.,aggregate_group_count,aggregate,3,1,3,1.0,1.0,1.0,1.0,0.0,185.0,185.0,0.0,0.0,0,889.0
normal,flat,advanced,gpt-4.1-mini,40,Finn totalt antall aksjer per aksjeklasse.,aggregate_group_sum,aggregate,3,1,3,1.0,1.0,1.0,1.0,0.0,30.0,30.0,0.0,0.0,0,1256.6667
normal,flat,advanced,gpt-4.1-mini,46,"Finn selskaper med flere enn 10 registrerte rolleoppføringer. Ta med navn, organisasjonsnummer og antall roller.",aggregate_having_sort_limit,aggregate,3,1,3,1.0,1.0,1.0,1.0,0.0,24.0,24.0,0.0,0.0,0,1806.0
normal,flat,advanced,gpt-4.1-mini,47,Finn partier med flere enn 5 innvalgte politikere. Ta med parti og antall innvalgte.,aggregate_having_sort_limit,aggregate,3,1,3,1.0,1.0,1.0,1.0,0.0,49.0,49.0,0.0,0.0,0,1210.3333
normal,flat,advanced,gpt-4.1-mini,49,"Finn selskaper med flere enn 20 eierskapsoppføringer. Ta med navn, organisasjonsnummer og antall eierskap.",aggregate_having_sort_limit,aggregate,3,1,3,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0,2080.6667
normal,flat,advanced,gpt-4.1-mini,21,"Finn selskaper med feltene selskapsnavn, organisasjonsnummer og type.",alias_projection,aggregate,3,1,3,1.0,1.0,1.0,1.0,0.0,2001.0,2001.0,0.0,0.0,0,1116.6667
normal,flat,advanced,gpt-4.1-mini,22,"Finn politikere med feltene politikerNavn, fødselsdato, parti, kommune og stemmer totalt.",alias_projection,aggregate,3,1,3,1.0,1.0,1.0,1.0,0.0,53366.0,53366.0,0.0,0.0,0,2846.3333
normal,flat,advanced,gpt-4.1-mini,23,"Finn rolleoppføringer med feltene personNavn, fødselsdato, selskap, organisasjonsnummer og rolle.",alias_projection,aggregate,3,1,3,1.0,1.0,1.0,1.0,0.0,4095.0,4095.0,0.0,0.0,0,1354.3333
normal,flat,advanced,gpt-4.1-mini,25,"Finn aksjeeierbokoppføringer med feltene aksjonær, selskap, organisasjonsnummer, aksjeklasse, aksjer og år.",alias_projection,aggregate,3,1,3,1.0,1.0,1.0,1.0,0.0,762063.0,762063.0,0.0,0.0,0,30121.0
normal,flat,advanced,gpt-4.1-mini,1,Finn alle distinkte selskapsroller.,distinct,distinct,3,1,3,1.0,1.0,1.0,1.0,0.0,9.0,9.0,0.0,0.0,0,744.3333
normal,flat,advanced,gpt-4.1-mini,2,Finn alle distinkte organisasjonstyper for selskaper.,distinct,distinct,3,1,3,1.0,1.0,1.0,1.0,0.0,7.0,7.0,0.0,0.0,0,771.6667
normal,flat,advanced,gpt-4.1-mini,3,Finn alle distinkte partier blant politikere.,distinct,distinct,3,1,3,1.0,1.0,1.0,1.0,0.0,185.0,185.0,0.0,0.0,0,943.3333
normal,flat,advanced,gpt-4.1-mini,4,Finn alle distinkte aksjeklasser i aksjeeierboken.,distinct,distinct,3,1,3,1.0,1.0,1.0,1.0,0.0,30.0,30.0,0.0,0.0,0,777.6667
normal,flat,advanced,gpt-4.1-mini,5,Finn alle distinkte år med eierskapsoppføringer.,distinct,distinct,3,1,3,1.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0,726.3333
normal,flat,advanced,gpt-4.1-mini,6,"Finn navn, organisasjonsnummer og oppløsningsdato for konkursbedrifter.",find_projection,find,3,1,3,1.0,1.0,1.0,1.0,0.0,1746.0,1746.0,0.0,0.0,0,1005.6667
normal,flat,advanced,gpt-4.1-mini,7,"Finn navn, organisasjonsnummer og etableringsdato for selskaper som ikke er i konkurs eller likvidasjon.",find_projection,find,3,1,3,1.0,1.0,1.0,1.0,0.0,4251.0,4251.0,0.0,0.0,0,1577.0
normal,flat,advanced,gpt-4.1-mini,8,"Finn navn, fødselsdato, parti og kommune for innvalgte politikere.",find_projection,find,3,1,3,1.0,1.0,1.0,1.0,0.0,36500.0,36500.0,0.0,0.0,0,1473.6667
normal,flat,advanced,gpt-4.1-mini,9,"Finn personer med rollen board_member. Ta med navn, fødselsdato, rolle, selskapsnavn og organisasjonsnummer.",find_projection,find,3,1,3,1.0,1.0,1.0,1.0,0.0,8010.0,8010.0,0.0,0.0,0,1209.0
normal,flat,advanced,gpt-4.1-mini,51,"Finn politikere som har selskapsroller. Ta med navn, fødselsdato, parti, selskap og rolle.",lookup_join,aggregate,3,1,3,1.0,1.0,1.0,1.0,0.0,116.0,116.0,0.0,0.0,0,8709.6667
normal,flat,advanced,gpt-4.1-mini,26,"Finn selskaper som har minst én registrert rolle. Ta med navn, organisasjonsnummer og antall roller.",quantifier_exists,aggregate,3,1,3,1.0,0.9993,1.0,0.9997,0.0,1429.0,1430.0,0.0,1.0,0,1897.0
normal,flat,advanced,gpt-4.1-mini,11,Finn selskaper som både er i konkurs og under likvidasjon. Ta med navn og organisasjonsnummer.,selection_conditions,find,3,1,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1187.3333
normal,flat,advanced,gpt-4.1-mini,12,"Finn selskaper etablert mellom 2015 og 2020. Ta med navn, organisasjonsnummer og etableringsdato.",selection_conditions,find,3,1,3,1.0,1.0,1.0,1.0,0.0,1623.0,1623.0,0.0,0.0,0,1157.0
normal,flat,advanced,gpt-4.1-mini,13,"Finn politikere fra Høyre med mer enn 100 personstemmer. Ta med navn, fødselsdato, parti og personstemmer.",selection_conditions,find,3,1,3,1.0,1.0,1.0,1.0,0.0,3604.0,3604.0,0.0,0.0,0,1309.0
normal,flat,advanced,gpt-4.1-mini,16,"Finn selskaper der bransjebeskrivelsen inneholder bygg. Ta med navn, organisasjonsnummer og bransjebeskrivelse.",text_or_pattern_filter,find,3,1,3,1.0,1.0,1.0,1.0,0.0,324.0,324.0,0.0,0.0,0,1059.3333
