benchmark_set,structure,schema_version,model,category,question_runs,unique_questions,successes,success_rate,avg_precision,avg_recall,avg_f1,sd_f1,avg_gold_count,avg_generated_count,avg_missing_count,avg_extra_count,errors,avg_total_ms
normal,flat,advanced,gpt-4.1-mini,lookup_join,15,5,7,0.4667,0.5989,0.6481,0.618,0.4582,77.6,64.9333,22.0,9.3333,0,5734.8667
normal,flat,advanced,gpt-4.1-mini,aggregate_group_avg,15,5,9,0.6,0.7976,0.7976,0.7976,0.4128,118.0,118.0,25.4,25.4,0,1109.7333
normal,flat,advanced,gpt-4.1-mini,aggregate_having_sort_limit,15,5,9,0.6,0.66,0.66,0.66,0.4421,30.0,30.0,14.6,14.6,0,1839.7333
normal,flat,advanced,gpt-4.1-mini,selection_conditions,15,5,9,0.6,0.6889,0.7034,0.6906,0.4226,94142.2,1301.4,92926.1333,85.3333,0,1624.0667
normal,flat,advanced,gpt-4.1-mini,find_projection,15,5,12,0.8,0.9286,0.95,0.9385,0.1274,10311.0,10311.0,52.4,52.4,0,1359.0
normal,flat,advanced,gpt-4.1-mini,text_or_pattern_filter,15,5,12,0.8,0.8001,1.0,0.8001,0.4138,1634.4,157030.4,0.0,155396.0,0,2075.8667
normal,flat,advanced,gpt-4.1-mini,alias_projection,15,5,14,0.9333,0.9333,0.9333,0.9333,0.2582,164360.0,164360.0,18.3333,18.3333,0,7364.1333
normal,flat,advanced,gpt-4.1-mini,distinct,15,5,15,1.0,1.0,1.0,1.0,0.0,46.6,46.6,0.0,0.0,0,792.6667
normal,flat,advanced,gpt-5-mini,aggregate_group_count,15,5,6,0.4,0.5926,0.5926,0.5926,0.4606,57.6,57.6,15.8,15.8,0,6583.4667
normal,flat,advanced,gpt-5-mini,aggregate_group_avg,15,5,7,0.4667,0.7558,0.7558,0.7558,0.4102,118.0,118.0,27.4,27.4,0,8443.2667
normal,flat,advanced,gpt-5-mini,aggregate_group_sum,15,5,8,0.5333,0.5879,0.5879,0.5879,0.499,259.2,259.2,62.8,62.8,0,8162.8667
normal,flat,advanced,gpt-5-mini,lookup_join,15,5,8,0.5333,0.9026,0.973,0.9254,0.1311,89.2308,92.1538,2.6923,5.6154,2,22369.4667
normal,flat,advanced,gpt-5-mini,quantifier_exists,15,5,9,0.6,0.7999,0.6365,0.6617,0.4405,11200.2,10945.1333,255.2,0.1333,0,14784.9333
normal,flat,advanced,gpt-5-mini,find_projection,15,5,12,0.8,0.975,0.975,0.975,0.0518,10311.0,10311.0,26.2,26.2,0,5236.8667
normal,flat,advanced,gpt-5-mini,aggregate_having_sort_limit,15,5,13,0.8667,0.9067,0.9067,0.9067,0.2463,30.0,30.0,0.9333,0.9333,0,7513.0
normal,flat,advanced,gpt-5-mini,selection_conditions,15,5,13,0.8667,0.8667,0.8667,0.8667,0.3519,94142.2,93925.8,216.4,0.0,0,9106.5333
normal,flat,advanced,gpt-5-mini,alias_projection,15,5,14,0.9333,1.0,1.0,1.0,0.0,172288.1429,172288.1429,0.0,0.0,1,13161.8
normal,flat,advanced,gpt-5-mini,distinct,15,5,15,1.0,1.0,1.0,1.0,0.0,46.6,46.6,0.0,0.0,0,3197.4667
normal,flat,advanced,gpt-5-mini,text_or_pattern_filter,15,5,15,1.0,0.9889,1.0,0.9939,0.0235,1634.4,1634.4,0.0,0.0,0,6137.0
normal,flat,naive,gpt-4.1-mini,aggregate_group_sum,15,5,3,0.2,0.2143,0.2143,0.2143,0.4258,272.2857,272.2857,265.8571,265.8571,1,1117.9333
normal,flat,naive,gpt-4.1-mini,lookup_join,15,5,3,0.2,0.7071,0.9662,0.8035,0.0993,95.6,128.0,3.6,36.0,5,9592.4
normal,flat,naive,gpt-4.1-mini,quantifier_exists,15,5,3,0.2,0.7814,0.5972,0.6286,0.4394,11916.4286,11871.9286,49.5,5.0,1,2633.0667
normal,flat,naive,gpt-4.1-mini,aggregate_group_count,15,5,6,0.4,0.7691,0.7691,0.7691,0.4019,57.6,57.6,0.8,0.8,0,1013.3333
normal,flat,naive,gpt-4.1-mini,aggregate_group_avg,15,5,9,0.6,0.7976,0.7976,0.7976,0.4128,118.0,118.0,25.4,25.4,0,1080.7333
normal,flat,naive,gpt-4.1-mini,aggregate_having_sort_limit,15,5,9,0.6,0.66,0.66,0.66,0.4421,30.0,30.0,14.6,14.6,0,2056.1333
normal,flat,naive,gpt-4.1-mini,text_or_pattern_filter,15,5,10,0.6667,0.8334,1.0,0.8334,0.389,1138.0,130634.6667,0.0,129496.6667,3,3847.2
normal,flat,naive,gpt-4.1-mini,alias_projection,15,5,12,0.8,1.0,1.0,1.0,0.0,192108.5,192108.5,0.0,0.0,3,7063.7333
normal,flat,naive,gpt-4.1-mini,find_projection,15,5,12,0.8,0.975,0.975,0.975,0.0518,10311.0,10311.0,26.2,26.2,0,1636.8
normal,flat,naive,gpt-4.1-mini,selection_conditions,15,5,12,0.8,0.8,0.8,0.8,0.414,94142.2,1375.4,92766.8,0.0,0,1890.2
normal,flat,naive,gpt-4.1-mini,distinct,15,5,15,1.0,1.0,1.0,1.0,0.0,46.6,46.6,0.0,0.0,0,1252.8667
normal,flat,naive,gpt-5-mini,aggregate_group_count,15,5,6,0.4,0.5926,0.5926,0.5926,0.4606,57.6,57.6,15.8,15.8,0,5484.8667
normal,flat,naive,gpt-5-mini,aggregate_group_avg,15,5,8,0.5333,0.8024,0.8024,0.8024,0.3819,118.0,118.0,11.5333,11.5333,0,6524.2667
normal,flat,naive,gpt-5-mini,aggregate_group_sum,15,5,8,0.5333,0.5333,0.5333,0.5333,0.5164,259.2,259.2,60.6,60.6,0,5987.8667
normal,flat,naive,gpt-5-mini,lookup_join,15,5,10,0.6667,0.8892,0.9766,0.8978,0.2566,77.6,111.8667,2.3333,36.6,0,15832.4
normal,flat,naive,gpt-5-mini,selection_conditions,15,5,10,0.6667,0.6667,0.6667,0.6667,0.488,94142.2,31973.0667,62169.1333,0.0,0,6650.0
normal,flat,naive,gpt-5-mini,alias_projection,15,5,12,0.8,1.0,1.0,1.0,0.0,192108.5,192108.5,0.0,0.0,3,12737.2667
normal,flat,naive,gpt-5-mini,find_projection,15,5,12,0.8,0.975,0.975,0.975,0.0518,10311.0,10311.0,26.2,26.2,0,4536.2667
normal,flat,naive,gpt-5-mini,quantifier_exists,15,5,12,0.8,0.8647,0.8605,0.8625,0.3505,11200.2,11038.8,163.6,2.2,0,11611.4667
normal,flat,naive,gpt-5-mini,text_or_pattern_filter,15,5,14,0.9333,0.9335,1.0,0.9336,0.2571,1634.4,1797.8,0.0,163.4,0,5318.0667
normal,flat,naive,gpt-5-mini,aggregate_having_sort_limit,15,5,15,1.0,1.0,1.0,1.0,0.0,30.0,30.0,0.0,0.0,0,6609.1333
normal,flat,naive,gpt-5-mini,distinct,15,5,15,1.0,1.0,1.0,1.0,0.0,46.6,46.6,0.0,0.0,0,2562.4
normal,structured,advanced,gpt-4.1-mini,aggregate_group_sum,15,5,3,0.2,0.2,0.2,0.2,0.414,259.2,259.2,253.2,253.2,0,1359.8
normal,structured,advanced,gpt-4.1-mini,lookup_join,15,5,3,0.2,0.4431,0.5668,0.493,0.4204,77.6,69.2,26.6,18.2,0,2934.2667
normal,structured,advanced,gpt-4.1-mini,quantifier_exists,15,5,3,0.2,0.6645,0.4951,0.5232,0.4651,11200.2,10916.4,286.4,2.6,0,2181.7333
normal,structured,advanced,gpt-4.1-mini,aggregate_group_count,15,5,6,0.4,0.5926,0.5926,0.5926,0.4606,57.6,57.6,15.8,15.8,0,2031.6667
normal,structured,advanced,gpt-4.1-mini,aggregate_having_sort_limit,15,5,6,0.4,0.42,0.42,0.42,0.496,30.0,57.2,24.8,52.0,0,1688.0667
normal,structured,advanced,gpt-4.1-mini,aggregate_group_avg,15,5,9,0.6,0.7976,0.7976,0.7976,0.4128,118.0,118.0,25.4,25.4,0,1250.4667
normal,structured,advanced,gpt-4.1-mini,find_projection,15,5,9,0.6,0.7628,0.95,0.7969,0.2889,10311.0,45703.8,52.4,35445.2,0,1603.8
normal,structured,advanced,gpt-4.1-mini,selection_conditions,15,5,9,0.6,0.6889,0.7333,0.7067,0.4108,94142.2,1375.4,92876.8,110.0,0,1794.2
normal,structured,advanced,gpt-4.1-mini,text_or_pattern_filter,15,5,9,0.6,0.6463,1.0,0.6753,0.4296,1634.4,159706.4,0.0,158072.0,0,2277.3333
normal,structured,advanced,gpt-4.1-mini,alias_projection,15,5,10,0.6667,0.7348,0.7348,0.7348,0.4406,172288.1429,172288.1429,2778.8571,2778.8571,1,7523.6667
normal,structured,advanced,gpt-4.1-mini,distinct,15,5,15,1.0,1.0,1.0,1.0,0.0,46.6,46.6,0.0,0.0,0,869.8
normal,structured,advanced,gpt-5-mini,aggregate_group_count,15,5,6,0.4,0.6514,0.6514,0.6514,0.4502,57.6,57.6,10.8,10.8,0,7304.7333
normal,structured,advanced,gpt-5-mini,lookup_join,15,5,6,0.4,0.7032,0.8996,0.7723,0.2674,75.4286,89.7143,2.6429,16.9286,1,21970.0667
normal,structured,advanced,gpt-5-mini,quantifier_exists,15,5,6,0.4,0.5999,0.4365,0.4617,0.4696,11200.2,10945.2,255.4,0.4,0,9857.2667
normal,structured,advanced,gpt-5-mini,aggregate_group_sum,15,5,7,0.4667,0.4667,0.4667,0.4667,0.5164,259.2,259.2,69.0,69.0,0,9455.2667
normal,structured,advanced,gpt-5-mini,aggregate_group_avg,15,5,8,0.5333,0.7754,0.7754,0.7754,0.3835,118.0,118.0,19.1333,19.1333,0,10651.6667
normal,structured,advanced,gpt-5-mini,find_projection,15,5,9,0.6,0.7782,0.9583,0.8091,0.288,10311.0,45703.8,43.6667,35436.4667,0,6561.8667
normal,structured,advanced,gpt-5-mini,selection_conditions,15,5,11,0.7333,0.7333,0.7333,0.7333,0.4577,94142.2,62895.3333,31246.8667,0.0,0,8225.4667
normal,structured,advanced,gpt-5-mini,aggregate_having_sort_limit,15,5,12,0.8,0.8,0.8,0.8,0.414,30.0,57.2,9.8,37.0,0,8700.0667
normal,structured,advanced,gpt-5-mini,text_or_pattern_filter,15,5,12,0.8,0.8352,1.0,0.8691,0.2564,1634.4,4310.4,0.0,2676.0,0,8442.4
normal,structured,advanced,gpt-5-mini,alias_projection,15,5,15,1.0,1.0,1.0,1.0,0.0,164360.0,164360.0,0.0,0.0,0,13391.9333
normal,structured,advanced,gpt-5-mini,distinct,15,5,15,1.0,1.0,1.0,1.0,0.0,46.6,46.6,0.0,0.0,0,3988.5333
normal,structured,naive,gpt-4.1-mini,lookup_join,15,5,2,0.1333,0.2088,0.3122,0.2416,0.3856,81.0769,291.7692,59.8462,270.5385,2,1653.5333
normal,structured,naive,gpt-4.1-mini,aggregate_group_sum,15,5,3,0.2,0.2,0.2,0.2,0.414,259.2,259.2,253.2,253.2,0,1198.7333
normal,structured,naive,gpt-4.1-mini,quantifier_exists,15,5,3,0.2,0.7272,0.5501,0.582,0.4491,11200.2,7545.3333,3661.8667,7.0,0,1725.2
normal,structured,naive,gpt-4.1-mini,aggregate_group_count,15,5,6,0.4,0.7691,0.7691,0.7691,0.4019,57.6,57.6,0.8,0.8,0,1020.6
normal,structured,naive,gpt-4.1-mini,aggregate_group_avg,15,5,9,0.6,0.7976,0.7976,0.7976,0.4128,118.0,118.0,25.4,25.4,0,1071.2
normal,structured,naive,gpt-4.1-mini,find_projection,15,5,9,0.6,0.825,0.874,0.8414,0.2683,10311.0,10237.4,3714.0,3640.4,0,3619.1333
normal,structured,naive,gpt-4.1-mini,selection_conditions,15,5,9,0.6,0.75,0.75,0.75,0.4523,116776.75,818.25,115958.5,0.0,3,1840.4
normal,structured,naive,gpt-4.1-mini,text_or_pattern_filter,15,5,9,0.6,0.65,0.8986,0.6664,0.4365,1634.4,157019.2,408.6,155793.4,0,2421.4
normal,structured,naive,gpt-4.1-mini,aggregate_having_sort_limit,15,5,11,0.7333,0.7333,0.7333,0.7333,0.4577,30.0,30.0,6.4,6.4,0,1591.8667
normal,structured,naive,gpt-4.1-mini,alias_projection,15,5,12,0.8,0.8191,0.8189,0.819,0.3799,164360.0,164266.2,9664.6667,9570.8667,0,7163.1333
normal,structured,naive,gpt-4.1-mini,distinct,15,5,15,1.0,1.0,1.0,1.0,0.0,46.6,46.6,0.0,0.0,0,1318.6667
normal,structured,naive,gpt-5-mini,quantifier_exists,15,5,3,0.2,0.7938,0.6162,0.6483,0.4301,11200.2,11062.8,144.4,7.0,0,8144.9333
normal,structured,naive,gpt-5-mini,lookup_join,15,5,4,0.2667,0.5246,0.6787,0.587,0.3896,74.8571,95.6429,11.9286,32.7143,1,14400.7333
normal,structured,naive,gpt-5-mini,aggregate_group_avg,15,5,5,0.3333,0.6885,0.6885,0.6885,0.4146,118.0,118.0,23.4667,23.4667,0,9122.1333
normal,structured,naive,gpt-5-mini,aggregate_group_count,15,5,6,0.4,0.5926,0.5926,0.5926,0.4606,57.6,57.6,15.8,15.8,0,7359.4
normal,structured,naive,gpt-5-mini,aggregate_group_sum,15,5,9,0.6,0.6,0.6,0.6,0.5071,259.2,259.2,52.2,52.2,0,7682.6667
normal,structured,naive,gpt-5-mini,selection_conditions,15,5,10,0.6667,0.6667,0.6667,0.6667,0.488,94142.2,31973.0667,62169.1333,0.0,0,6759.9333
normal,structured,naive,gpt-5-mini,aggregate_having_sort_limit,15,5,12,0.8,0.86,0.86,0.86,0.2898,30.0,30.0,1.4,1.4,0,7017.3333
normal,structured,naive,gpt-5-mini,alias_projection,15,5,12,0.8,1.0,1.0,1.0,0.0,192108.5,192108.5,0.0,0.0,3,13652.7333
normal,structured,naive,gpt-5-mini,find_projection,15,5,12,0.8,0.975,0.975,0.975,0.0518,10311.0,10311.0,26.2,26.2,0,5988.0
normal,structured,naive,gpt-5-mini,text_or_pattern_filter,15,5,14,0.9333,1.0,1.0,1.0,0.0,1492.5714,1492.5714,0.0,0.0,1,6643.9333
normal,structured,naive,gpt-5-mini,distinct,15,5,15,1.0,1.0,1.0,1.0,0.0,46.6,46.6,0.0,0.0,0,2998.8
