benchmark_set,question_id,structure,schema,model,runs,category,operation,success_rate_mean,precision_mean,recall_mean,f1_mean,error_runs,question
complex,102,structured,naive,gpt-4.1-mini,3,complex_pipeline_stress,aggregate,0,0.2963,0.14036666666666667,0.19046666666666667,2,"Finn selskaper som både har eierskapsoppføringer i 2023 og aksjeeierbokoppføringer i 2023. Ta med navn, organisasjonsnummer, antall eierskapsoppføringer i 2023 og antall aksjeeierbokoppføringer i 2023."
complex,102,structured,naive,gpt-5-mini,3,complex_pipeline_stress,aggregate,0,0.8889,0.4211,0.5714,0,"Finn selskaper som både har eierskapsoppføringer i 2023 og aksjeeierbokoppføringer i 2023. Ta med navn, organisasjonsnummer, antall eierskapsoppføringer i 2023 og antall aksjeeierbokoppføringer i 2023."
complex,103,flat,advanced,gpt-4.1-mini,3,complex_pipeline_stress,aggregate,1,1,1,1,0,"Finn politikere som både eier aksjer i et selskap og har en rolle i samme selskap. Identifiser politikere med navn og fødselsdato. Ta med navn, fødselsdato, parti, selskap, organisasjonsnummer, rolle og eierandel."
complex,103,flat,advanced,gpt-5-mini,3,complex_pipeline_stress,aggregate,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,"Finn politikere som både eier aksjer i et selskap og har en rolle i samme selskap. Identifiser politikere med navn og fødselsdato. Ta med navn, fødselsdato, parti, selskap, organisasjonsnummer, rolle og eierandel."
complex,103,flat,naive,gpt-4.1-mini,3,complex_pipeline_stress,aggregate,1,1,1,1,0,"Finn politikere som både eier aksjer i et selskap og har en rolle i samme selskap. Identifiser politikere med navn og fødselsdato. Ta med navn, fødselsdato, parti, selskap, organisasjonsnummer, rolle og eierandel."
complex,103,flat,naive,gpt-5-mini,3,complex_pipeline_stress,aggregate,1,1,1,1,0,"Finn politikere som både eier aksjer i et selskap og har en rolle i samme selskap. Identifiser politikere med navn og fødselsdato. Ta med navn, fødselsdato, parti, selskap, organisasjonsnummer, rolle og eierandel."
complex,103,structured,advanced,gpt-4.1-mini,3,complex_pipeline_stress,aggregate,1,1,1,1,0,"Finn politikere som både eier aksjer i et selskap og har en rolle i samme selskap. Identifiser politikere med navn og fødselsdato. Ta med navn, fødselsdato, parti, selskap, organisasjonsnummer, rolle og eierandel."
complex,103,structured,advanced,gpt-5-mini,3,complex_pipeline_stress,aggregate,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,"Finn politikere som både eier aksjer i et selskap og har en rolle i samme selskap. Identifiser politikere med navn og fødselsdato. Ta med navn, fødselsdato, parti, selskap, organisasjonsnummer, rolle og eierandel."
complex,103,structured,naive,gpt-4.1-mini,3,complex_pipeline_stress,aggregate,1,1,1,1,0,"Finn politikere som både eier aksjer i et selskap og har en rolle i samme selskap. Identifiser politikere med navn og fødselsdato. Ta med navn, fødselsdato, parti, selskap, organisasjonsnummer, rolle og eierandel."
complex,103,structured,naive,gpt-5-mini,3,complex_pipeline_stress,aggregate,1,1,1,1,0,"Finn politikere som både eier aksjer i et selskap og har en rolle i samme selskap. Identifiser politikere med navn og fødselsdato. Ta med navn, fødselsdato, parti, selskap, organisasjonsnummer, rolle og eierandel."
complex,104,flat,advanced,gpt-4.1-mini,3,complex_pipeline_stress,aggregate,1,1,1,1,0,"Finn de 20 selskapene med flest samlede rolleoppføringer og eierskapsoppføringer. Ta med navn, organisasjonsnummer, antall roller, antall eierskap og totalt antall relasjoner. Sorter synkende på totalt antall relasjoner og stigende på organisasjonsnummer ved likt antall."
complex,104,flat,advanced,gpt-5-mini,3,complex_pipeline_stress,aggregate,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,"Finn de 20 selskapene med flest samlede rolleoppføringer og eierskapsoppføringer. Ta med navn, organisasjonsnummer, antall roller, antall eierskap og totalt antall relasjoner. Sorter synkende på totalt antall relasjoner og stigende på organisasjonsnummer ved likt antall."
complex,104,flat,naive,gpt-4.1-mini,3,complex_pipeline_stress,aggregate,1,1,1,1,0,"Finn de 20 selskapene med flest samlede rolleoppføringer og eierskapsoppføringer. Ta med navn, organisasjonsnummer, antall roller, antall eierskap og totalt antall relasjoner. Sorter synkende på totalt antall relasjoner og stigende på organisasjonsnummer ved likt antall."
complex,104,flat,naive,gpt-5-mini,3,complex_pipeline_stress,aggregate,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,"Finn de 20 selskapene med flest samlede rolleoppføringer og eierskapsoppføringer. Ta med navn, organisasjonsnummer, antall roller, antall eierskap og totalt antall relasjoner. Sorter synkende på totalt antall relasjoner og stigende på organisasjonsnummer ved likt antall."
complex,104,structured,advanced,gpt-4.1-mini,3,complex_pipeline_stress,aggregate,1,1,1,1,0,"Finn de 20 selskapene med flest samlede rolleoppføringer og eierskapsoppføringer. Ta med navn, organisasjonsnummer, antall roller, antall eierskap og totalt antall relasjoner. Sorter synkende på totalt antall relasjoner og stigende på organisasjonsnummer ved likt antall."
complex,104,structured,advanced,gpt-5-mini,3,complex_pipeline_stress,aggregate,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,"Finn de 20 selskapene med flest samlede rolleoppføringer og eierskapsoppføringer. Ta med navn, organisasjonsnummer, antall roller, antall eierskap og totalt antall relasjoner. Sorter synkende på totalt antall relasjoner og stigende på organisasjonsnummer ved likt antall."
complex,104,structured,naive,gpt-4.1-mini,3,complex_pipeline_stress,aggregate,1,1,1,1,0,"Finn de 20 selskapene med flest samlede rolleoppføringer og eierskapsoppføringer. Ta med navn, organisasjonsnummer, antall roller, antall eierskap og totalt antall relasjoner. Sorter synkende på totalt antall relasjoner og stigende på organisasjonsnummer ved likt antall."
complex,104,structured,naive,gpt-5-mini,3,complex_pipeline_stress,aggregate,1,1,1,1,0,"Finn de 20 selskapene med flest samlede rolleoppføringer og eierskapsoppføringer. Ta med navn, organisasjonsnummer, antall roller, antall eierskap og totalt antall relasjoner. Sorter synkende på totalt antall relasjoner og stigende på organisasjonsnummer ved likt antall."
complex,105,flat,advanced,gpt-4.1-mini,3,complex_pipeline_stress,aggregate,1,1,1,1,0,"Finn partier der politikere har minst én selskapsrolle eller minst ett personlig eierskap. Identifiser politikere med navn og fødselsdato. Ta med parti, antall unike politikere, antall rolleoppføringer og antall eierskap."
complex,105,flat,advanced,gpt-5-mini,3,complex_pipeline_stress,aggregate,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,"Finn partier der politikere har minst én selskapsrolle eller minst ett personlig eierskap. Identifiser politikere med navn og fødselsdato. Ta med parti, antall unike politikere, antall rolleoppføringer og antall eierskap."
complex,105,flat,naive,gpt-4.1-mini,3,complex_pipeline_stress,aggregate,0,0.07246666666666667,0.0926,0.0813,0,"Finn partier der politikere har minst én selskapsrolle eller minst ett personlig eierskap. Identifiser politikere med navn og fødselsdato. Ta med parti, antall unike politikere, antall rolleoppføringer og antall eierskap."
complex,105,flat,naive,gpt-5-mini,3,complex_pipeline_stress,aggregate,0,0,0,0,0,"Finn partier der politikere har minst én selskapsrolle eller minst ett personlig eierskap. Identifiser politikere med navn og fødselsdato. Ta med parti, antall unike politikere, antall rolleoppføringer og antall eierskap."
complex,105,structured,advanced,gpt-4.1-mini,3,complex_pipeline_stress,aggregate,0,0.20750000000000002,0.2592666666666667,0.2305,0,"Finn partier der politikere har minst én selskapsrolle eller minst ett personlig eierskap. Identifiser politikere med navn og fødselsdato. Ta med parti, antall unike politikere, antall rolleoppføringer og antall eierskap."
complex,105,structured,advanced,gpt-5-mini,3,complex_pipeline_stress,aggregate,0,0,0,0,1,"Finn partier der politikere har minst én selskapsrolle eller minst ett personlig eierskap. Identifiser politikere med navn og fødselsdato. Ta med parti, antall unike politikere, antall rolleoppføringer og antall eierskap."
complex,105,structured,naive,gpt-4.1-mini,3,complex_pipeline_stress,aggregate,0,0.10606666666666666,0.12963333333333335,0.11666666666666665,0,"Finn partier der politikere har minst én selskapsrolle eller minst ett personlig eierskap. Identifiser politikere med navn og fødselsdato. Ta med parti, antall unike politikere, antall rolleoppføringer og antall eierskap."
complex,105,structured,naive,gpt-5-mini,3,complex_pipeline_stress,aggregate,0,0,0,0,0,"Finn partier der politikere har minst én selskapsrolle eller minst ett personlig eierskap. Identifiser politikere med navn og fødselsdato. Ta med parti, antall unike politikere, antall rolleoppføringer og antall eierskap."
main,1,flat,advanced,gpt-4.1-mini,3,distinct,distinct,1,1,1,1,0,Finn alle distinkte selskapsroller.
main,1,flat,advanced,gpt-5-mini,3,distinct,distinct,1,1,1,1,0,Finn alle distinkte selskapsroller.
main,1,flat,naive,gpt-4.1-mini,3,distinct,distinct,1,1,1,1,0,Finn alle distinkte selskapsroller.
main,1,flat,naive,gpt-5-mini,3,distinct,distinct,1,1,1,1,0,Finn alle distinkte selskapsroller.
main,1,structured,advanced,gpt-4.1-mini,3,distinct,distinct,1,1,1,1,0,Finn alle distinkte selskapsroller.
main,1,structured,advanced,gpt-5-mini,3,distinct,distinct,1,1,1,1,0,Finn alle distinkte selskapsroller.
main,1,structured,naive,gpt-4.1-mini,3,distinct,distinct,1,1,1,1,0,Finn alle distinkte selskapsroller.
main,1,structured,naive,gpt-5-mini,3,distinct,distinct,1,1,1,1,0,Finn alle distinkte selskapsroller.
main,2,flat,advanced,gpt-4.1-mini,3,distinct,distinct,1,1,1,1,0,Finn alle distinkte organisasjonstyper for selskaper.
main,2,flat,advanced,gpt-5-mini,3,distinct,distinct,1,1,1,1,0,Finn alle distinkte organisasjonstyper for selskaper.
main,2,flat,naive,gpt-4.1-mini,3,distinct,distinct,1,1,1,1,0,Finn alle distinkte organisasjonstyper for selskaper.
main,2,flat,naive,gpt-5-mini,3,distinct,distinct,1,1,1,1,0,Finn alle distinkte organisasjonstyper for selskaper.
main,2,structured,advanced,gpt-4.1-mini,3,distinct,distinct,1,1,1,1,0,Finn alle distinkte organisasjonstyper for selskaper.
main,2,structured,advanced,gpt-5-mini,3,distinct,distinct,1,1,1,1,0,Finn alle distinkte organisasjonstyper for selskaper.
main,2,structured,naive,gpt-4.1-mini,3,distinct,distinct,1,1,1,1,0,Finn alle distinkte organisasjonstyper for selskaper.
main,2,structured,naive,gpt-5-mini,3,distinct,distinct,1,1,1,1,0,Finn alle distinkte organisasjonstyper for selskaper.
main,3,flat,advanced,gpt-4.1-mini,3,distinct,distinct,1,1,1,1,0,Finn alle distinkte partier blant politikere.
main,3,flat,advanced,gpt-5-mini,3,distinct,distinct,1,1,1,1,0,Finn alle distinkte partier blant politikere.
main,3,flat,naive,gpt-4.1-mini,3,distinct,distinct,1,1,1,1,0,Finn alle distinkte partier blant politikere.
main,3,flat,naive,gpt-5-mini,3,distinct,distinct,1,1,1,1,0,Finn alle distinkte partier blant politikere.
main,3,structured,advanced,gpt-4.1-mini,3,distinct,distinct,1,1,1,1,0,Finn alle distinkte partier blant politikere.
main,3,structured,advanced,gpt-5-mini,3,distinct,distinct,1,1,1,1,0,Finn alle distinkte partier blant politikere.
main,3,structured,naive,gpt-4.1-mini,3,distinct,distinct,1,1,1,1,0,Finn alle distinkte partier blant politikere.
main,3,structured,naive,gpt-5-mini,3,distinct,distinct,1,1,1,1,0,Finn alle distinkte partier blant politikere.
main,4,flat,advanced,gpt-4.1-mini,3,distinct,distinct,1,1,1,1,0,Finn alle distinkte aksjeklasser i aksjeeierboken.
main,4,flat,advanced,gpt-5-mini,3,distinct,distinct,1,1,1,1,0,Finn alle distinkte aksjeklasser i aksjeeierboken.
main,4,flat,naive,gpt-4.1-mini,3,distinct,distinct,1,1,1,1,0,Finn alle distinkte aksjeklasser i aksjeeierboken.
main,4,flat,naive,gpt-5-mini,3,distinct,distinct,1,1,1,1,0,Finn alle distinkte aksjeklasser i aksjeeierboken.
main,4,structured,advanced,gpt-4.1-mini,3,distinct,distinct,1,1,1,1,0,Finn alle distinkte aksjeklasser i aksjeeierboken.
main,4,structured,advanced,gpt-5-mini,3,distinct,distinct,1,1,1,1,0,Finn alle distinkte aksjeklasser i aksjeeierboken.
main,4,structured,naive,gpt-4.1-mini,3,distinct,distinct,1,1,1,1,0,Finn alle distinkte aksjeklasser i aksjeeierboken.
main,4,structured,naive,gpt-5-mini,3,distinct,distinct,1,1,1,1,0,Finn alle distinkte aksjeklasser i aksjeeierboken.
main,5,flat,advanced,gpt-4.1-mini,3,distinct,distinct,1,1,1,1,0,Finn alle distinkte år med eierskapsoppføringer.
main,5,flat,advanced,gpt-5-mini,3,distinct,distinct,1,1,1,1,0,Finn alle distinkte år med eierskapsoppføringer.
main,5,flat,naive,gpt-4.1-mini,3,distinct,distinct,1,1,1,1,0,Finn alle distinkte år med eierskapsoppføringer.
main,5,flat,naive,gpt-5-mini,3,distinct,distinct,1,1,1,1,0,Finn alle distinkte år med eierskapsoppføringer.
main,5,structured,advanced,gpt-4.1-mini,3,distinct,distinct,1,1,1,1,0,Finn alle distinkte år med eierskapsoppføringer.
main,5,structured,advanced,gpt-5-mini,3,distinct,distinct,1,1,1,1,0,Finn alle distinkte år med eierskapsoppføringer.
main,5,structured,naive,gpt-4.1-mini,3,distinct,distinct,1,1,1,1,0,Finn alle distinkte år med eierskapsoppføringer.
main,5,structured,naive,gpt-5-mini,3,distinct,distinct,1,1,1,1,0,Finn alle distinkte år med eierskapsoppføringer.
main,6,flat,advanced,gpt-4.1-mini,3,find_projection,find,1,1,1,1,0,"Finn navn, organisasjonsnummer og oppløsningsdato for konkursbedrifter."
main,6,flat,advanced,gpt-5-mini,3,find_projection,find,1,1,1,1,0,"Finn navn, organisasjonsnummer og oppløsningsdato for konkursbedrifter."
main,6,flat,naive,gpt-4.1-mini,3,find_projection,find,1,1,1,1,0,"Finn navn, organisasjonsnummer og oppløsningsdato for konkursbedrifter."
main,6,flat,naive,gpt-5-mini,3,find_projection,find,1,1,1,1,0,"Finn navn, organisasjonsnummer og oppløsningsdato for konkursbedrifter."
main,6,structured,advanced,gpt-4.1-mini,3,find_projection,find,1,1,1,1,0,"Finn navn, organisasjonsnummer og oppløsningsdato for konkursbedrifter."
main,6,structured,advanced,gpt-5-mini,3,find_projection,find,1,1,1,1,0,"Finn navn, organisasjonsnummer og oppløsningsdato for konkursbedrifter."
main,6,structured,naive,gpt-4.1-mini,3,find_projection,find,1,1,1,1,0,"Finn navn, organisasjonsnummer og oppløsningsdato for konkursbedrifter."
main,6,structured,naive,gpt-5-mini,3,find_projection,find,1,1,1,1,0,"Finn navn, organisasjonsnummer og oppløsningsdato for konkursbedrifter."
main,7,flat,advanced,gpt-4.1-mini,3,find_projection,find,1,1,1,1,0,"Finn navn, organisasjonsnummer og etableringsdato for selskaper som ikke er i konkurs eller likvidasjon."
main,7,flat,advanced,gpt-5-mini,3,find_projection,find,1,1,1,1,0,"Finn navn, organisasjonsnummer og etableringsdato for selskaper som ikke er i konkurs eller likvidasjon."
main,7,flat,naive,gpt-4.1-mini,3,find_projection,find,1,1,1,1,0,"Finn navn, organisasjonsnummer og etableringsdato for selskaper som ikke er i konkurs eller likvidasjon."
main,7,flat,naive,gpt-5-mini,3,find_projection,find,1,1,1,1,0,"Finn navn, organisasjonsnummer og etableringsdato for selskaper som ikke er i konkurs eller likvidasjon."
main,7,structured,advanced,gpt-4.1-mini,3,find_projection,find,1,1,1,1,0,"Finn navn, organisasjonsnummer og etableringsdato for selskaper som ikke er i konkurs eller likvidasjon."
main,7,structured,advanced,gpt-5-mini,3,find_projection,find,1,1,1,1,0,"Finn navn, organisasjonsnummer og etableringsdato for selskaper som ikke er i konkurs eller likvidasjon."
main,7,structured,naive,gpt-4.1-mini,3,find_projection,find,1,1,1,1,0,"Finn navn, organisasjonsnummer og etableringsdato for selskaper som ikke er i konkurs eller likvidasjon."
main,7,structured,naive,gpt-5-mini,3,find_projection,find,1,1,1,1,0,"Finn navn, organisasjonsnummer og etableringsdato for selskaper som ikke er i konkurs eller likvidasjon."
main,8,flat,advanced,gpt-4.1-mini,3,find_projection,find,1,1,1,1,0,"Finn navn, fødselsdato, parti og kommune for innvalgte politikere."
main,8,flat,advanced,gpt-5-mini,3,find_projection,find,1,1,1,1,0,"Finn navn, fødselsdato, parti og kommune for innvalgte politikere."
main,8,flat,naive,gpt-4.1-mini,3,find_projection,find,1,1,1,1,0,"Finn navn, fødselsdato, parti og kommune for innvalgte politikere."
main,8,flat,naive,gpt-5-mini,3,find_projection,find,1,1,1,1,0,"Finn navn, fødselsdato, parti og kommune for innvalgte politikere."
main,8,structured,advanced,gpt-4.1-mini,3,find_projection,find,0,0.171,1,0.2921,0,"Finn navn, fødselsdato, parti og kommune for innvalgte politikere."
main,8,structured,advanced,gpt-5-mini,3,find_projection,find,0,0.171,1,0.2921,0,"Finn navn, fødselsdato, parti og kommune for innvalgte politikere."
main,8,structured,naive,gpt-4.1-mini,3,find_projection,find,0,0.25,0.49479999999999996,0.3321,0,"Finn navn, fødselsdato, parti og kommune for innvalgte politikere."
main,8,structured,naive,gpt-5-mini,3,find_projection,find,1,1,1,1,0,"Finn navn, fødselsdato, parti og kommune for innvalgte politikere."
main,9,flat,advanced,gpt-4.1-mini,3,find_projection,find,1,1,1,1,0,"Finn personer med rollen board_member. Ta med navn, fødselsdato, rolle, selskapsnavn og organisasjonsnummer."
main,9,flat,advanced,gpt-5-mini,3,find_projection,find,1,1,1,1,0,"Finn personer med rollen board_member. Ta med navn, fødselsdato, rolle, selskapsnavn og organisasjonsnummer."
main,9,flat,naive,gpt-4.1-mini,3,find_projection,find,1,1,1,1,0,"Finn personer med rollen board_member. Ta med navn, fødselsdato, rolle, selskapsnavn og organisasjonsnummer."
main,9,flat,naive,gpt-5-mini,3,find_projection,find,1,1,1,1,0,"Finn personer med rollen board_member. Ta med navn, fødselsdato, rolle, selskapsnavn og organisasjonsnummer."
main,9,structured,advanced,gpt-4.1-mini,3,find_projection,find,1,1,1,1,0,"Finn personer med rollen board_member. Ta med navn, fødselsdato, rolle, selskapsnavn og organisasjonsnummer."
main,9,structured,advanced,gpt-5-mini,3,find_projection,find,1,1,1,1,0,"Finn personer med rollen board_member. Ta med navn, fødselsdato, rolle, selskapsnavn og organisasjonsnummer."
main,9,structured,naive,gpt-4.1-mini,3,find_projection,find,1,1,1,1,0,"Finn personer med rollen board_member. Ta med navn, fødselsdato, rolle, selskapsnavn og organisasjonsnummer."
main,9,structured,naive,gpt-5-mini,3,find_projection,find,1,1,1,1,0,"Finn personer med rollen board_member. Ta med navn, fødselsdato, rolle, selskapsnavn og organisasjonsnummer."
main,10,flat,advanced,gpt-4.1-mini,3,find_projection,find,0,0.6428,0.75,0.6923,0,"Finn personlige eierskap fra 2023. Ta med eiernavn, eierens fødselsdato, selskapsnavn, organisasjonsnummer, år, eierandel og antall aksjer."
main,10,flat,advanced,gpt-5-mini,3,find_projection,find,0,0.875,0.875,0.875,0,"Finn personlige eierskap fra 2023. Ta med eiernavn, eierens fødselsdato, selskapsnavn, organisasjonsnummer, år, eierandel og antall aksjer."
main,10,flat,naive,gpt-4.1-mini,3,find_projection,find,0,0.875,0.875,0.875,0,"Finn personlige eierskap fra 2023. Ta med eiernavn, eierens fødselsdato, selskapsnavn, organisasjonsnummer, år, eierandel og antall aksjer."
main,10,flat,naive,gpt-5-mini,3,find_projection,find,0,0.875,0.875,0.875,0,"Finn personlige eierskap fra 2023. Ta med eiernavn, eierens fødselsdato, selskapsnavn, organisasjonsnummer, år, eierandel og antall aksjer."
main,10,structured,advanced,gpt-4.1-mini,3,find_projection,find,0,0.6428,0.75,0.6923,0,"Finn personlige eierskap fra 2023. Ta med eiernavn, eierens fødselsdato, selskapsnavn, organisasjonsnummer, år, eierandel og antall aksjer."
main,10,structured,advanced,gpt-5-mini,3,find_projection,find,0,0.7202000000000001,0.7916666666666666,0.7532,0,"Finn personlige eierskap fra 2023. Ta med eiernavn, eierens fødselsdato, selskapsnavn, organisasjonsnummer, år, eierandel og antall aksjer."
main,10,structured,naive,gpt-4.1-mini,3,find_projection,find,0,0.875,0.875,0.875,0,"Finn personlige eierskap fra 2023. Ta med eiernavn, eierens fødselsdato, selskapsnavn, organisasjonsnummer, år, eierandel og antall aksjer."
main,10,structured,naive,gpt-5-mini,3,find_projection,find,0,0.875,0.875,0.875,0,"Finn personlige eierskap fra 2023. Ta med eiernavn, eierens fødselsdato, selskapsnavn, organisasjonsnummer, år, eierandel og antall aksjer."
main,11,flat,advanced,gpt-4.1-mini,3,selection_conditions,find,1,1,1,1,0,Finn selskaper som både er i konkurs og under likvidasjon. Ta med navn og organisasjonsnummer.
main,11,flat,advanced,gpt-5-mini,3,selection_conditions,find,1,1,1,1,0,Finn selskaper som både er i konkurs og under likvidasjon. Ta med navn og organisasjonsnummer.
main,11,flat,naive,gpt-4.1-mini,3,selection_conditions,find,1,1,1,1,0,Finn selskaper som både er i konkurs og under likvidasjon. Ta med navn og organisasjonsnummer.
main,11,flat,naive,gpt-5-mini,3,selection_conditions,find,1,1,1,1,0,Finn selskaper som både er i konkurs og under likvidasjon. Ta med navn og organisasjonsnummer.
main,11,structured,advanced,gpt-4.1-mini,3,selection_conditions,find,1,1,1,1,0,Finn selskaper som både er i konkurs og under likvidasjon. Ta med navn og organisasjonsnummer.
main,11,structured,advanced,gpt-5-mini,3,selection_conditions,find,1,1,1,1,0,Finn selskaper som både er i konkurs og under likvidasjon. Ta med navn og organisasjonsnummer.
main,11,structured,naive,gpt-4.1-mini,3,selection_conditions,find,1,1,1,1,0,Finn selskaper som både er i konkurs og under likvidasjon. Ta med navn og organisasjonsnummer.
main,11,structured,naive,gpt-5-mini,3,selection_conditions,find,1,1,1,1,0,Finn selskaper som både er i konkurs og under likvidasjon. Ta med navn og organisasjonsnummer.
main,12,flat,advanced,gpt-4.1-mini,3,selection_conditions,find,1,1,1,1,0,"Finn selskaper etablert mellom 2015 og 2020. Ta med navn, organisasjonsnummer og etableringsdato."
main,12,flat,advanced,gpt-5-mini,3,selection_conditions,find,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,"Finn selskaper etablert mellom 2015 og 2020. Ta med navn, organisasjonsnummer og etableringsdato."
main,12,flat,naive,gpt-4.1-mini,3,selection_conditions,find,1,1,1,1,0,"Finn selskaper etablert mellom 2015 og 2020. Ta med navn, organisasjonsnummer og etableringsdato."
main,12,flat,naive,gpt-5-mini,3,selection_conditions,find,0,0,0,0,0,"Finn selskaper etablert mellom 2015 og 2020. Ta med navn, organisasjonsnummer og etableringsdato."
main,12,structured,advanced,gpt-4.1-mini,3,selection_conditions,find,1,1,1,1,0,"Finn selskaper etablert mellom 2015 og 2020. Ta med navn, organisasjonsnummer og etableringsdato."
main,12,structured,advanced,gpt-5-mini,3,selection_conditions,find,0,0,0,0,0,"Finn selskaper etablert mellom 2015 og 2020. Ta med navn, organisasjonsnummer og etableringsdato."
main,12,structured,naive,gpt-4.1-mini,3,selection_conditions,find,1,1,1,1,0,"Finn selskaper etablert mellom 2015 og 2020. Ta med navn, organisasjonsnummer og etableringsdato."
main,12,structured,naive,gpt-5-mini,3,selection_conditions,find,0,0,0,0,0,"Finn selskaper etablert mellom 2015 og 2020. Ta med navn, organisasjonsnummer og etableringsdato."
main,13,flat,advanced,gpt-4.1-mini,3,selection_conditions,find,1,1,1,1,0,"Finn politikere fra Høyre med mer enn 100 personstemmer. Ta med navn, fødselsdato, parti og personstemmer."
main,13,flat,advanced,gpt-5-mini,3,selection_conditions,find,1,1,1,1,0,"Finn politikere fra Høyre med mer enn 100 personstemmer. Ta med navn, fødselsdato, parti og personstemmer."
main,13,flat,naive,gpt-4.1-mini,3,selection_conditions,find,1,1,1,1,0,"Finn politikere fra Høyre med mer enn 100 personstemmer. Ta med navn, fødselsdato, parti og personstemmer."
main,13,flat,naive,gpt-5-mini,3,selection_conditions,find,1,1,1,1,0,"Finn politikere fra Høyre med mer enn 100 personstemmer. Ta med navn, fødselsdato, parti og personstemmer."
